player,team,pos,tldr,summary,c_fastball,f_fastball,c_slider,f_slider,c_command,f_command,sits_low,sits_high,tops,c_hit,f_hit,c_raw,f_raw,c_game,f_game,c_run,f_run,c_field,f_field,throw,c_curveball,f_curveball,c_change,f_change,c_cutter,f_cutter
Kevin Alcántara,chc,CF,"Long, lanky, and loaded with tools and projection, Alcántara is a loose, 6-foot-6 outfielder with massive potential.","Alcántara’s time is nigh, as he enters his final option year in 2025. His looming lack of roster flexibility might force the Cubs, who even after effectively swapping Kyle Tucker in for Cody Bellinger in their outfield, are still flush with big league outfielders at the time of publication, to make a trade that clears room for him to be rostered on Opening Day 2025. That would preserve that final option in the event that Alcántara struggles to find his big league footing and absolutely needs another stretch at Triple-A Iowa to get himself right. This course of events is plausible because Alcántara is still fairly raw and has all the physical markers of a hitter who might require a prolonged adjustment period to actually start hitting.

At a freaky 6-foot-6, Alcántara’s swing is very long and difficult to time. He tends to be late on fastballs and struggles to pull them in the air, but he has plus bat speed and the power to leave the yard to the opposite field even when he isn’t on time. He has plus measureable pop at age 22 and he isn’t even close to being totally filled out; his frame has room for another 15-20 pounds of muscle before Alcántara’s mobility would be threatened by his size. Compounding the hit tool volatility here, however, is Alcántara’s tendency to miss secondary pitches, as he doesn’t identify or adjust to them all that well and had miss rates north of 40% against sliders and changeups in 2024. Alcántara also drives the ball into the ground a lot; his grounder rate was 50% in 2024, but he still managed to have 35 extra-base hits in 111 minor league games (he missed a few weeks with a shoulder injury) because he hits the ball so hard. Center fielders whose contact profiles resemble Alcántara’s include Jose Siri, Michael A. Taylor, James Outman, and Luis Robert Jr., guys whose performance tends to vary a lot year-to-year, and the same will likely be true of Alcántara.

The thing that stabilizes Alcántara’s profile is his center field defense, which has become quite good. He’s a plus runner with plus range and ball skills, and he plays with a fearlessness around the warning track. He’s gotten very good at the minutiae of the position, like deke’ing baserunners or running to a spot to position himself to throw before he’s collected the baseball. With Pete Crow-Armstrong around, Alcántara is more likely to be a potential Gold Glove corner outfielder in Chicago, but here he’s evaluated as a center fielder because, league-wide, that’s the position at which he has the most value. There’s bust risk here, but especially if his ability to lift the ball starts to improve, Alcántara is going to have some All Star-caliber power-hitting seasons and be a very valuable everyday outfielder.",,,,,,,,,,30,35,60,70,45,60,60,60,50,60,55,,,,,,
Jac Caglianone,kcr,RF,"Caglianone was a two-way college player with elite power and arm strength. If his plate discipline and feel for contact improve as he focuses on hitting, he’s going to explode.","The freakishly talented Caglianone presented a serious conundrum to teams picking atop the 2024 draft. He was perhaps as talented and toolsy a college player as there has been in the last decade or so, wielding elite raw power and, for parts of his career, elite fastball velocity, but Caglianone’s plate discipline and command were both so lacking that they threatened his entire profile on both sides of the ball. He slugged .738 and hit 33 homers as a sophomore, then slashed .419/.544/.875 with 35 bombs in his draft year, but long levers and poor ball/strike recognition (his chase rates approached 40% in college) caused Cags to whiff quite a bit more than his 8.2% junior year K% might otherwise indicate. His swing, which features a very aggressive hand load way up and away from his body, takes advantage of Caglianone’s prodigious athleticism to generate nutty power, but it might benefit from being toned down, not only to help stop Cags from striking out too much, but so that he doesn’t drive the ball into the ground so often, which was an issue after the draft. Caglianone looks as impressive in his uniform as anyone in pro baseball (his thighs are practically bursting out of his pants), and he’s strong enough to do damage with a simpler operation. These blemishes create risk, but the notion that Caglianone will polish his hit tool and feel for the strike zone once he’s been allowed to focus on hitting in pro ball makes him a very exciting prospect.

There’s also an exciting fallback option on the mound if strikeouts turn out to be a problem, though that comes with its own risk. Caglianone has an ideal pitcher’s frame at a hulking 6-foot-5. He’s limber and loose and powers down the mound with ease. His fastball sat 97-100 in 2023, and he has a great changeup. But Caglianone’s velocity plummeted in 2024, and he only averaged 92-93 mph from May until the end of the season. His two breaking balls (an upper-80s slider/cutter and a low-80s slurve) are also wildly inconsistent, as is his command and overall feel for pitching. A return to the mound should probably only be explored if Caglianone underwhelms as a hitter for the next couple of seasons. His ceiling as an everyday hitter is big enough that it should be his/Kansas City’s focus until it becomes clear that it isn’t going to work. This guy has 35 homer upside.",,,,,,,,,,30,40,70,80,35,65,40,40,30,50,70,,,,,,
Josue De Paula,lad,LF,De Paula is a loose-in-the-hips corner outfield prospect with enormous power potential that hasn’t been actualized yet.,"For two consecutive years, De Paula has posted an above-average offensive line as a young-for-the-league hitter. He now sports a .291/.411/.420 career line, and his underlying exit velocities are remarkable for a teenager, as they’re nearly plus on the big league scale. This is a big, physical, loose-in-the-hips outfielder with enormous raw power projection and an early-career track record of plus plate discipline and closer-to-average contact rates. There are some funky elements to De Paula’s swing that have prevented him from tapping into his power in games, and that create some hit tool risk that hasn’t yet been exposed. De Paula tends to lose his base as he swings, his mechanics can get handsy (sometimes he still crushes the ball anyway), and he’ll spin out even when he isn’t swinging all that hard. De Paula is also very vulnerable to righty fastballs running up and away from him. He swings underneath a ton of them, which will become more detrimental to his production as he climbs the minors and faces better heaters. This is a prospect who is still more about projection than present ability on both sides of the ball. De Paula is a tentative corner defender with a great arm that he has not yet tamed. He’s talented enough to be valued as a 50 FV prospect because the power-hitting ceiling here is nutty if De Paula and the Dodgers can remedy even a few of his issues.",,,,,,,,,,20,40,55,70,20,60,45,45,20,40,60,,,,,,
Kyle Teel,chw,C,"Teel is a great ball blocker and thrower, and should get to enough of his power to perform like an average primary catcher.","Teel, who raked in high school, opted out of the 2020 draft, raked in college, was picked in the middle of the 2023 first round, and has raked so far as a pro. He posted a 145 wRC+ at Double-A Portland in 2024, his first full pro season, and was promoted to Triple-A Worcester in mid-August. It seemed plausible that Teel might debut in Boston in 2025, in part because he has played so well and in part because incumbent catcher Connor Wong has struggled. Instead, Teel became the most well-rounded member of Chicago’s fairly crowded big league/Triple-A catching contingent when he was included in the Garrett Crochet deal.

Teel does not have the prototypical size and bulk of an everyday catcher; he’s a leaner athlete, and there are times when his lack of strength impacts his receiving and pitch framing at the bottom of the zone. But he does virtually everything else well on defense. He’s a really great ball-blocker and has sensational hands when picking balls in the dirt. Teel’s raw arm strength is average, but he is very accurate even when awkward pitch locations force him to contort his body to throw.

On offense, his skill set has begun to take on a power-over-hit flavor. He takes a lot of high-effort cuts, and the path of his classic, low-ball lefty swing is geared for lift. Teel has struggled to cover fastballs up and away from him enough that his contact rates have fallen a bit below the major league average at catcher, but his playable power and selectivity (which helps him hunt pitches he can drive) should be enough for him to perform like a good primary backstop.",,,,,,,,,,40,45,45,50,40,55,45,40,45,55,55,,,,,,
Josue Briceño,det,C,"Briceño has looked good behind the plate when healthy, and broke out in the Fall League. He’s a well-rounded hitter who needs to prove he can sustain big offensive performance under the rigors of an entire season behind the dish.","Briceño had a monster 2023 spent mostly on the Lakeland complex, slashing .319/.402/.529 with seven homers. He was among this system’s hard-hit leaders at a whopping 42%, one of the few lower-level hitters consistently hitting the ball 95-plus mph that year. He missed most of 2024 due to a strained PCL suffered in mid-May that kept him out until the end of August. He was only able to amass 176 regular season plate appearances and hit .278/.381/.377 (but repeated the 42% hard-hit rate), then Briceño went to the Arizona Fall League and won the League MVP with an absurd .433/.509/.867 line and 10 homers in 25 games.

Briceño has plus pull power and has now had consecutive years with strikeout rates around 14.5%. His power can be neutered if pitchers execute to the outer third of the zone, but Briceño is capable of going the other way to produce singles and doubles. Briceño didn’t catch at all after his knee injury, but he looked pretty good back here before he got hurt, much better than the year before. He does everything fairly well — receiving around the edge of the zone, ball-blocking, throwing — and has improved pretty quickly for such a big, young catcher. He should return to catching in 2025 and projects as an average defender at peak based on his early-2024 look. Another positive development here is Briceño’s conditioning. He looked much more lithe and limber in Arizona, and seemed to have cut weight without sacrificing power. Whereas in 2023, Briceño looked maxed out, he suddenly has positive physical projection. It’s rare for players who miss half the season or more with injury to have also had an overwhelmingly positive year, but that’s the case for Briceño, who looks like a future primary catcher.",,,,,,,,,,30,50,50,60,30,50,30,30,40,50,50,,,,,,
Rhett Lowder,cin,SP,Lowder is a strike-throwing sinker baller with a good slider and changeup.,"Lowder’s performance steadily improved throughout his college career, which ended with a bang. He went 15-0 in 17 starts for Wake Forest prior to the College World Series and posted a sub-1.00 WHIP and sub-2.00 ERA during his draft spring. He was drafted seventh overall as a strike-throwing, quick-moving, three-pitch starter, and in his first full pro season, Lowder was exactly that. He ascended all the way to Cincinnati, where Lowder made six starts at the end of the year.

A gangly, unspectacular athlete with a theatrical, cross-bodied delivery, Lowder clearly works hard to keep his somewhat awkward frame in great shape. His bow-legged front side, and the stiffness in his hips and lower back, contribute to a funky operation that aids in deception, albeit via an atypical look for a starter. Lowder’s stuff isn’t overwhelming, but the pieces of his repertoire fit together nicely, and while imprecise, he fills the zone with them. His best pitch is his mid-80s slider, which has considerable length for a breaking ball that hard. The sink/tail action of his fastball limits its bat-missing ability in the strike zone, but its movement pairs nicely with his slider, and it’s hard for hitters to cover both sides of the plate when those two pitches are located well in sequence. Lowder’s changeup has enough tail and sink to miss the occasional bat, but it more frequently induces groundballs, which is true of his entire repertoire. Lowder is a low-variance fourth starter.",55,55,55,60,45,50,92,96,97,,,,,,,,,,,,,,50,50,,
Jacob Wilson,ath,SS,Wilson is a bat-to-ball savant who plays acrobatic defense to make up for a lack of range. He’s a likely everyday player but might not hit for enough power to be a true star.,"Wilson was the best bat-to-ball hitter in all of college baseball during both his sophomore and junior seasons. As a soph, he had the lowest strikeout rate among qualified college hitters at a microscopic 2.8%, while as a junior, Wilson only swung and missed a total of 18 times and posted a whopping 10-to-1 ball-in-play-to-whiff ratio. He ended his college career having hit .361/.419/.558 and became the sixth pick in a loaded draft.

Despite his collegiate success, Wilson was a fairly divisive amateur prospect due to the light, opposite-field nature of much of his contact, as if he were a better-gloved Nick Madrigal sequel. Wilson has allayed some of those concerns in pro ball, as he slashed an incredible .401/.446/.606 combined in the minors across a sample shortened by knee tendonitis. That slugging percentage isn’t emblematic of WIlson’s actual power (by a lot), but performance at that level demanded rapid promotion to the big leagues, where Wilson slashed .250/.314/.315 across 103 PA toward the end of 2024 (a season interrupted by a hamstring injury).

Though their tendencies as hitters are similar, Wilson separates himself from the spectre of Madrigal’s lack of impact with much better defense and better long-term physical projection. Wilson has unspectacular range and struggles with hot shots, but his actions are often acrobatic and fun once the ball is in his hands. He is going to make a ton of SportsCenter Top 10s making jump throws to first and crazy feeds to second.

Since turning pro, Wilson’s frame has filled out, especially in his shoulders. He’s strong enough to make doubles-oriented contact now, flattening his path to impact pitches at the top of the zone and dipping to scoop low ones, which he often drives the other way. Wilson’s inside-out style has him spraying fastballs to right field and pulling mistake breaking balls. He’s incredibly aggresive and chase-prone, but his bat control helps him get away with it. Low walk rates are common among players who make high-end rates of contact; guys like Luis Arraez, Madrigal, David Fletcher, Martín Prado, and countless others have had varying degrees of big league success despite not walking very much. What separates Wilson from many players of this ilk is that he’s a quality shortstop defender, and he has better long-term athletic projection than many of them because of his lanky build. Erick Aybar and Andrelton Simmons are fair performance comps for what readers should expect from Wilson’s arc as a hitter. He should be the Athletics’ everyday shortstop from Opening Day 2025 and onward, and while his ceiling is capped by a lack of power and what are likely to be low OBPs, his elite feel for contact should allow him to produce in the 2-3 WAR range.",,,,,,,,,,60,70,35,40,30,35,45,45,45,50,60,,,,,,
Cooper Ingle,cle,C,"Ingle is an athletic catcher with great contact skills, and his exchange on throws is fast enough to make up for a lack of pure arm strength.","Ingle is one of the twitchier athletes in the minors, with his quickness impacting the game in many different ways. This has been the case for Ingle on offense for a while. He was an excellent contact hitter at Clemson and he’s carried that ability seamlessly into pro ball. Of compact build, Ingle can wait forever before he decides whether or not to swing. He’s a count-working nightmare who spoils a ton of tough pitches and sprays line drive contact all over the field. In 2024, Ingle slashed .305/.419/.478 at mostly High-A. He walked more than he struck out and kept hitting even after he was promoted to Double-A Akron later in the year.

The key developments for Ingle in 2024 involved his physique and defense. He has always been on the smaller side of what is typical for a big league catcher, and while that remains true, he has added 15 pounds or so and is noticeably stockier than when he signed. The added strength has made Ingle a much quieter receiver and it hasn’t cost him any quickness; he is incredibly agile and it shows in his blocking and the way he exits his crouch. Ingle’s arm strength is only fair, so he needs to get rid of the baseball as quickly as possible, and he does. His accuracy can suffer because of his haste, but overall this approach worked for Ingle in 2024, as he’s hosed 26% of would-be base stealers and trended better after he was promoted to Akron. It’s still fair to wonder how Ingle’s body will hold up against the rigors of catching most days at the big league level (he caught 74 games in 2024), but he now has the skills to play the position well, and his combination of contact and on-base ability should be enough for him to clear the offensive bar at his position.",,,,,,,,,,50,60,35,40,30,35,50,50,45,55,50,,,,,,
Kevin McGonigle,det,SS,McGonigle is a compact shortstop with enough on base and contact skill to be an everyday player.,"Ranked 19th on the 2023 Draft Board, McGonigle was arguably the high school player from that class with the highest floor because of his middle infield fit and contact ability. McGonigle’s stocky build capped his power projection and, theoretically, his ceiling, but his early-career contact performance has been special enough that he might become an impact player, even with modest raw pop.

McGonigle missed the beginning of the 2024 season due to a hamstring injury and the end of it due to a broken hamate. In between (60 games at Low-A Lakeland and 14 at High-A West Michigan), he slashed a fantastic .309/.401/.452 with more walks than strikeouts and 22 stolen in 24 attempts. His more granular data, albeit in a relatively small sample, was sensational. McGonigle posted an 88% contact rate and 41% hard-hit rate. There aren’t any big league hitters with marks that high in both categories, which, though impressive, is also an indication it’s probably not sustainable. Regardless, McGonigle’s short levers and terrific barrel feel, especially at the top of the strike zone, is real. He’s incredibly hard to beat, even when he expands the zone (which he does much more often with two strikes). McGonigle’s hard-hit rate comes more from contact consistency than big raw power. He has below-average raw and, at a maxed-out 5-foot-10, is unlikely to grow into a ton more. But his early count selectivity, and his ability to impact the ball with lift at the top of the zone, should still allow him to get to an okay amount of power for a shortstop.

McGonigle’s hands weren’t as crisp in 2024 as usual, but he still has enough arm for short, a well-calibrated internal clock, and great actions around the bag. He’s a low-variance everyday middle infielder tracking for a late-2027 debut.",,,,,,,,,,35,60,40,45,30,45,55,55,40,50,55,,,,,,
Chase DeLauter,cle,RF,"Several foot injuries have made it tough for DeLauter to stay on the field. When he’s healthy, he looks like a heart-of-the-order hitter.","We’re in Joel Embiid territory here. DeLauter has not been able to stay on the field since entering pro ball, and he’s now had several foot/ankle fractures and sprains dating back to college, some of which have recurred. He has played just 96 regular games since being drafted in 2022, but he has been great when he’s been healthy, and is a career .317/.387/.517 hitter who ended his 2024 season at Triple-A. DeLauter’s unique swing, in which he alters his footwork as a means of directing his barrel around the zone, often has a weird, truncated finish. This seems to work for him, in part because DeLauter’s hands are so strong and able to generate thunderous power without help from big rotational movement. While he’s best at golfing low pitches, DeLauter is also capable of taking ones on the outer third deep to the opposite field. His background contact data and lack of chase both reinforce the hitterish scouting look. His injuries have impacted his mobility when healthy such that it’s been hard to evaluate his defense; at his size, however, he’s absolutely ticketed for a corner. On talent, DeLauter looks like a heart-of-the-order hitter, but his persistent injuries force his FV grade down a shade compared to last year.",,,,,,,,,,40,50,55,60,40,60,45,40,40,40,60,,,,,,
Luke Keaschall,min,CF,Keaschall’s best position is “hitter.” A nagging elbow issue has clouded his defensive fit.,"Keaschall had two solid underclass seasons at the University of San Francisco before he transferred to Arizona State for his draft year, during which he hit an unbelievable .353/.443/.725. He had some first round buzz (probably under slot; the rumor was Boston) and was heavy in the mix of model-driven teams because he was not yet 21 on draft day. Keaschall ended up signing for $1.5 million as a second-round pick.

The undersized Keaschall is a premium in-the-box athlete with a flexible and powerful lower body, as well as strong wrists that turn over through contact. At Arizona State, he would often look a little out of control, chasing a ton and swinging so hard that he found himself off balance. This is one of the areas in which Keaschall has changed since joining Minnesota’s system. His swing rate has dropped from 50% at ASU to 38% with the Twins, and he walked more than he struck out at High-A Cedar Rapids prior to a promotion to Double-A Wichita in late May. He slashed .303/.420/.483 with 15 homers and 21 doubles in 102 games even though he was dealing with nagging right elbow discomfort that ultimately led to a late-2024 Tommy John. Aside from his hard-hit rate, which might very well spike when he returns healthy in 2025, every one of Keaschall’s statistical indicators is better than the big league average. Keaschall’s swing brings consistent pull-side lift to the party, which means his power production might really pop if a healthy elbow means he can hit the baseball harder.

Keaschall’s best position is “hitter,” and his ultimate defensive home still isn’t clear. A bad college middle infielder, Keaschall continued to look rough at second base with Cedar Rapids, then he DH’d for most of May because of his elbow, and came out the other side playing more center field and even some first base. His feel for center was predictably pretty rough, but it got a little better as the season went on. Whether Keaschall’s elbow issue was part of why he looked so bad at second base, we just won’t know until he returns. A number of things could happen here, from “Keaschall’s feel for center field improves” to “healthy Keaschall hits for enough power to be a full-time first baseman.” But I’m confident enough in his bat to value him as an everyday player of some kind as he enters his age-22 season.",,,,,,,,,,45,55,40,50,35,50,55,55,30,40,35,,,,,,
Marcelo Mayer,bos,SS,Mayer is a power-hitting shortstop who struggles to make contact with secondary stuff.,"For a couple of years now, I’ve written about my apprehension surrounding Mayer’s issues with secondary stuff. Throughout his entire career, he has performed in spite of these issues, but they continue to terrify me. Marcelo’s front side is so upright throughout his swing that it makes it nearly impossible for him to dip and scoop soft stuff at the bottom of the strike zone and below. He can absolutely button a fastball, but big league pitchers aren’t going to show him many of those if he keeps performing like he has against secondaries. Just how stark is the contrast? Mayer had an 87% contact rate against fastballs last year, and a 57% contact rate against breaking balls. It seemed feasible in 2023 that his issues were the result of him playing through injury, but even as he slashed an amazing .307/.370/.480 at Double-A Portland in 2024, this problem lurked beneath the surface and is an unstable Jenga block in the middle of an otherwise exciting profile. Mayer is a powerful mistake hitter with all-fields juice when he gets a pitch in the the middle of the strike zone and above; he had a very impressive 50% hard-hit rate in 2024 and tallied 36 extra-base hits in just 77 games, as Mayer’s 2024 season was interrupted for the third straight year by injury. In consecutive years, he has had wrist, shoulder, and back issues, which season Mayer’s profile with another element of risk.

Mayer has always been a bit boxier than the usual elite shortstop prospect, but his hands and actions are so skilled and polished that he seemed likely to play there despite middling range. His footwork and actions are very polished, and the Red Sox have found a way to mask his mediocre range and arm strength (for shortstop) with good positioning. It isn’t sexy, but it works. Though Mayer’s performance (and my grade for him) has seesawed a bit during his prospect lifetime, he has enough power to be considered a productive, power-hitting shortstop.",,,,,,,,,,30,35,55,60,45,55,40,40,40,50,50,,,,,,
Colson Montgomery,chw,SS,"Montgomery’s nutty 2023 now looks like a small sample anomaly. His power and on-base skills should still make him a productive everyday shortstop, but he’ll probably have a prolonged adjustment period at the big league level.","In 2024, Montgomery had a rough go of things at Triple-A Charlotte, where he slashed .214/.329/.381 and hit 18 homers in 130 games. Though he’s never had strikeout issues quite as stark as he showed in 2024, his incredible 2023 looks like a small sample anomaly compared to the rest of his upper-level output. The huge-framed Montgomery still has rare lefty power for an infielder and he has a great idea of the strike zone. His approach is geared to pull as often as he can — it lacks skill and nuance — and he struggles badly to cover the top of the strike zone.

Especially with the benefit of good positioning, Montgomery does enough to stay at shortstop (he makes plays coming in on the grass very well), but he’s a little too slow and clumsy to be considered average there. He should still produce like an good everyday shortstop because of his on-base ability and power relative to others at the position, but he may frustrate in other ways, especially initially. At peak, he could have some seasons with 30 homers and fair shortstop defense, but it almost certainly will not be right away. Montgomery isn’t a plug-and-play star who’ll be productive on arrival; it will probably take some time.",,,,,,,,,,30,40,55,60,45,55,40,40,30,40,50,,,,,,
Kumar Rocker,tex,SP,Rocker’s injury history is an inextricable aspect of his profile. His velocity and slider should allow him to be good as long as he’s healthy.,"In part because of the modern media climate and our collective fixation with The Next Big Thing, Rocker’s baseball odyssey has been perhaps the most visible, dramatic and prolonged roller coaster ride any prospect has ever been subject to. He looked like a first rounder for much of his high school career, but his stuff dipped as the 2018 draft approached while his asking price did not, so teams backed away and Rocker went to Vanderbilt. After some rocky early starts his freshman year, something clicked for the right-hander and he was utterly dominant during the second half, culminating in a 19-strikeout no-hitter in a postseason game against Duke. That outing, and Vanderbilt’s run to a national title, made Rocker a household name even among casual baseball fans. The pandemic squashed his sophomore season, then Rocker emerged with a noticeably higher release point as a junior. He was fantastic early on, but his fastball lost two ticks as the spring progressed.

Despite his excellent career performance — 236.2 IP, 321 K, 68 BB, 2.89 ERA — volatility was an inextricable aspect of Rocker’s 2021 draft profile, and he fell to the Mets at 10th overall. New York was scared enough of his post-draft physical to squash his deal, which meant Rocker had to wait another year to enter pro ball. He pitched in the independent Frontier League in 2022 and his velocity was back, but again his arm slot had totally changed; this time, it was much lower than when he finished up at Vanderbilt. The Rangers made him a top five pick and sent Rocker to the 2022 Arizona Fall League, where he was scattering 95-97 mph fastballs and had his trademark, plus-plus slider. Then Rocker’s elbow blew out in May of 2023 and he had Tommy John, shelving him until July 2024. Upon his return, Rocker was touching 99-100 right out of the gate and again had changed his release, this time to a low-three-quarters slot but a vertical hand position. Over a span of two months, the Rangers gradually stretched him out to the point where he was working five innings, and he made his much deserved big league debut in mid-September.

Rocker’s fastball still lacks great shape, but he lives off of angle and velocity to beat hitters at the letters, and he has an explicit sinker version with more tailing action. Speaking of explicit, Rocker’s slider is still X-rated. It sat its usual 84-87 mph last year and generated misses at a 65% clip (the average for big league sliders is 34%), in part because Rocker’s command of it is great. Rocker has good feel for locating his 90 mph changeup, and while that pitch isn’t especially nasty, he’s barely been healthy enough to work on it and it might blossom late. He also has a show-me mid-70s curveball.

As deliriously happy as we all should be that Rocker has managed to persevere through all of these injuries while being in a white-hot spotlight, his injury history has to factor into the way he’s graded here. It’s great that he was bumping 100 mph last year, but he did so across just under 50 total innings. I do think his fastball is still vulnerable to big damage even though it’s really hard, and he’ll be more of a fourth starter on a good Rangers team rather than the club’s ace.",55,55,80,80,40,50,96,98,100,,,,,,,,,,,,40,40,40,45,,
Braxton Ashcraft,pit,SP,Ashcraft is a hard-throwing starter with a great slider.,"Ashcraft came back from Tommy John with a vengeance in 2023 and earned a 40-man roster spot. He was utterly dominant across his first 50 innings of Double-A to start 2024 and was promoted to Triple-A Indianapolis where, after a couple of starts, he was put on the IL three separate times with recurring forearm issues, the last of which ended his season. He has arrived at 2025 camp with intact velocity, but injuries are an inescapable aspect of Ashcraft’s profile due to his history and the violent nature of his delivery.

When healthy, Ashcraft has good stuff and should be a meaningful contributor to Pittsburgh’s pitching staff. His bread-and-butter pitch is his 88 mph slider, which has impressive length and depth for such a hard offering. It generated miss rates north of 40% in 2024, as did Ashcraft’s slower, 82-85 mph curveball, which he uses more as a backfoot weapon against lefties. Though his arm angle creates relatively ineffective movement on his fastball, Ashcraft’s mid-90s velocity makes up for it somewhat. Similar to Quinn Priester, there might be some issues with Ashcraft’s fastball getting hit, or at least he may have to pitch off his breaking stuff more frequently against big league hitters and thus operate less efficiently from a strike-throwing standpoint. He has never had issues throwing strikes in pro ball but also hasn’t demonstrated starter-level durability because his career has been interrupted by injuries and the pandemic; his 73 innings in 2024 were comfortably a career high.

Ashcraft seems likely to be optioned at the start of the 2025 season (he has two options left, while most of the Pirates’ projected rotation either does not, or is named Skenes or Jones), but he should graduate at some point this season as he’s called upon in response to injury. He has the talent to be a no. 4/5 starter when healthy.",50,50,70,70,40,45,93,97,98,,,,,,,,,,,,55,55,,,,
Yoniel Curet,tbr,SP,Curet was the minor league strikeout leader over the last couple of years and has held upper-90s velo for 120 innings. His changeup appeared to be taking off late in 2024.,"Curet has led the minors in strikeouts over the last two seasons with 303 tickets punched in just 223 innings. He’s been walk-prone during that time, and his fastball has some round-down elements in its shape and plane, but Curet’s delivery is so relaxed and easy that I anticipate he’ll continue to polish that as he matures. He’s only 22, but for two consecutive years, he’s shown he can sustain mid-to-upper-90s velocity across a starter’s load of innings. In 2024, his first year on Tampa Bay’s 40-man roster, he worked 119 innings, ran a 2.95 ERA and 3.76 FIP, and was still reaching back for 97-98 mph fastballs in September with Double-A Montgomery.

Curet’s fastball generated plus miss in 2024 even though it has suboptimal shape. When he’s locating it to the arm-side part of the plate, it has exploding rise/run movement. Curet’s slider has plus potential thanks to its rare velocity. It’ll touch 90 mph and often acts more like a cutter than a true slider, starting above the zone and bending down into it when it’s at its best. Even though it isn’t truly switched on as a chase-inducing weapon right now, it has still been able to generate above-average miss. Something as simple as altering Curet’s position on the rubber might help it look more enticing to hitters.

The real late-season development for Curet was his changeup, which he used twice as often in Montgomery as he did in Bowling Green. As you can imagine from a guy who has below-average command and is just starting to use a new pitch, Curet’s feel for locating it was inconsistent, but a good number of his changeups have huge tailing action and downward finish. The ease of his delivery makes this pitch very promising; it generated a 60% miss and 45% chase rate in August and September even though Curet had basically only just begun working with it. Curet’s fastball, durability (this guy’s legs are like tree trunks), and proximity to the big leagues drive a long-term mid-rotation projection. He’s entering his second option year and should make his big league debut at some point in 2025.",60,60,50,55,30,45,95,98,99,,,,,,,,,,,,,,45,60,,
Jett Williams,nym,CF,"Williams has an amazing power/speed combo for such a short player. His defensive home is unsettled, but it’s likely going to be an up-the-middle position.","Williams added significant strength between his junior and senior years of high school, which is how he elevated his stock into the first round of the 2022 draft. He then dominated A-ball in his first full pro season before looking overmatched late in 2023 and early in 2024 at Double-A Binghamton. He was shut down with right wrist soreness in late April with the hope that cortisone and rest would allow him to heal, but instead he needed TFCC debridement surgery and missed four months. He was either out or compromised for too much of 2024 to really glean anything from his performance or underlying data. He went to Arizona for the Fall League, and I thought he looked fine there even though he K’d at a 30% clip. It felt like a season that Jett (and those of us evaluating him) should just flush and move on from.

Williams still swings with incredible verve and power for a 5-foot-6 guy. His top hand is incredibly strong through contact, giving him power back through the middle of the field. He has historically had issues with high fastballs, and those will likely persist due to the uppercut nature of his swing. Williams’ defensive fit is still not clear. I’ve had him projected to center field because of his speed, and due to the throwing accuracy issues he’s had from shortstop, which were present in 2024. Jett split time evenly between center field and shortstop in Arizona, and was running in the 4.1s for me there. He’s blazingly fast and should be fine in center with reps. For Williams to be an everyday center fielder would be mold-breaking in a sense; there really aren’t players this size who play out there every day. But Jett is already kind of mold-breaking because he’s immensely strong for a 5-foot-6 guy, and I think that he’ll get to enough power to play out there in an everyday capacity.",,,,,,,,,,30,40,50,55,30,50,70,70,40,60,45,,,,,,
JJ Wetherholt,stl,SS,"Wetherholt has looked better at shortstop since returning from his pre-draft hamstring injury, and should be a well-rounded everyday player either there or at second base.","Wetherholt is a native of Mars, Pennsylvania, and in college, he hit like he isn’t of this planet. He was a career .370/.468/.625 hitter at West Virginia, a unanimous first team All-American as a sophomore and the top ranked player on the FanGraphs Draft Board entering the 2024 season.

Wetherholt’s swing often has huge finish through contact. A big bat wrap gives him a very aggressive angle of attack with the barrel, and feel for oppo contact saves him when he’s a little late, which was more common in 2024 (including after the draft), as he was less apt to pull the baseball than in 2023. His in-zone contact rate was in the 90-93% range the last two years of school, and then was 82% in a small A-ball sample after the draft. A thing to watch here in 2025 is whether or not Wetherholt can start pulling the baseball more like he did in 2023.

Wetherholt suffered a hamstring injury at the start of the 2024 college season and missed about six weeks. On defense, he can be slow to approach balls hit in front of him, and sometimes he struggles to bend and turn around the baseball quickly, hallmarks of a guy with a tight lower body. Wetherholt looked better in this regard once he returned from the hammy issue, but the general flexibility in his lower body is something to monitor. He played a mix of second base, third base, and left field as an underclassman, but was exclusively a shortstop in 2024, and his chances of remaining there are much better than they appeared 12 months ago. Staying at short would give his offense some room to breath if in fact Wetherholt’s newfound tendency to inside-out the baseball is a permanent aspect of his profile. He has average everyday shortstop projection.",,,,,,,,,,35,50,50,50,35,50,50,50,40,45,50,,,,,,
